film,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,Overview,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,oscar_nominations,oscar_wins,best_picture_nom,best_picture_win
The Lord of the Rings: The Two Towers,2002.0,179,8.7,1485555,342551365,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,1,0
The Matrix,1999.0,136,8.7,1676426,171479930,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,4,0,0
Goodfellas,1990.0,146,8.7,1020727,46836394,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Star Wars: Episode V - The Empire Strikes Back,1980.0,124,8.7,1159315,290475067,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
One Flew Over the Cuckoo's Nest,1975.0,133,8.7,918088,112000000,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,5,1,1
Gisaengchung,2019.0,132,8.6,552778,53367844,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0
Interstellar,2014.0,169,8.6,1512360,188020017,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5,1,0,0
Cidade de Deus,2002.0,130,8.6,699256,7563397,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Sen to Chihiro no kamikakushi,2001.0,125,8.6,651376,10055859,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Saving Private Ryan,1998.0,169,8.6,1235804,216540909,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11,5,1,0
The Green Mile,1999.0,189,8.6,1147794,136801374,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,0,1,0
La vita è bella,1997.0,116,8.6,623629,57598247,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Se7en,1995.0,127,8.6,1445096,100125643,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0
The Silence of the Lambs,1991.0,118,8.6,1270197,130742922,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7,5,1,1
Star Wars,1977.0,121,8.6,1231473,322740140,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,11,7,1,0
Shichinin no samurai,1954.0,207,8.6,315744,269061,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Joker,2019.0,122,8.5,939252,335451311,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11,2,1,0
Whiplash,2014.0,106,8.5,717585,13092000,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,3,1,0
The Intouchables,2011.0,112,8.5,760360,13182281,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Prestige,2006.0,130,8.5,1190259,53089891,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2,0,0,0
The Departed,2006.0,151,8.5,1189773,132384315,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5,4,1,1
The Pianist,2002.0,150,8.5,729603,32572577,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7,3,1,0
Gladiator,2000.0,155,8.5,1341460,187705427,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,5,1,1
American History X,1998.0,119,8.5,1034705,6719864,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
The Usual Suspects,1995.0,106,8.5,991208,23341568,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2,2,0,0
Léon,1994.0,110,8.5,1035236,19501238,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Lion King,1994.0,88,8.5,942045,422783777,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,0,0
Terminator 2: Judgment Day,1991.0,137,8.5,995506,204843350,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6,4,0,0
Nuovo Cinema Paradiso,1988.0,155,8.5,230763,11990401,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Back to the Future,1985.0,116,8.5,1058081,210609762,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,1,0,0
Once Upon a Time in the West,1968.0,165,8.5,302844,5321508,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0
Psycho,1960.0,109,8.5,604211,32000000,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,4,0,0,0
Casablanca,1942.0,102,8.5,522093,1024560,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,8,3,1,1
Modern Times,1936.0,87,8.5,217881,163245,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
City Lights,1931.0,87,8.5,167839,19181,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Capharnaüm,2018.0,126,8.4,62635,1661096,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Kimi no na wa.,2016.0,106,8.4,194838,5017246,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Spider-Man: Into the Spider-Verse,2018.0,117,8.4,375110,190241310,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0
Avengers: Endgame,2019.0,181,8.4,809955,858373000,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
Avengers: Infinity War,2018.0,149,8.4,834477,678815482,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0
Coco,2017.0,105,8.4,384171,209726015,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,0,0
Django Unchained,2012.0,165,8.4,1357682,162805434,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,2,1,0
The Dark Knight Rises,2012.0,164,8.4,1516346,448139099,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
3 Idiots,2009.0,170,8.4,344445,6532908,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
WALL·E,2008.0,98,8.4,999790,223808164,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6,1,0,0
The Lives of Others,2006.0,137,8.4,358685,11286112,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,1,0,0
Oldeuboi,2003.0,101,8.4,515451,707481,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0
Memento,2000.0,113,8.4,1125712,25544867,A man with short-term memory loss attempts to track down his wife's murderer.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2,0,0,0
Mononoke-hime,1997.0,134,8.4,343171,2375308,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Raiders of the Lost Ark,1981.0,115,8.4,884112,248159971,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,5,1,0
The Shining,1980.0,146,8.4,898237,44017374,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0
Apocalypse Now,1979.0,147,8.4,606398,83471511,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,8,2,1,0
Alien,1979.0,117,8.4,787806,78900000,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2,1,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,95,8.4,450474,275902,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0,1,0
Rear Window,1954.0,112,8.4,444074,36764313,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,4,0,0,0
1917,2019.0,119,8.3,425844,159227644,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,10,3,1,0
Jagten,2012.0,115,8.3,281623,687185,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Jodaeiye Nader az Simin,2011.0,123,8.3,220002,7098492,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Incendies,2010.0,131,8.3,150023,6857096,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0
Inglourious Basterds,2009.0,153,8.3,1267869,120540719,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8,1,1,0
Eternal Sunshine of the Spotless Mind,2004.0,108,8.3,911664,34400301,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2,1,0,0
Amélie,2001.0,122,8.3,703810,33225499,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5,0,0,0
Snatch,2000.0,104,8.3,782001,30328156,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Requiem for a Dream,2000.0,102,8.3,766870,3635482,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
American Beauty,1999.0,122,8.3,1069738,130096601,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,5,1,1
Good Will Hunting,1997.0,126,8.3,861606,138433435,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,9,2,1,0
Bacheha-Ye aseman,1997.0,89,8.3,65341,933933,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0
Toy Story,1995.0,81,8.3,887429,191796233,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,0,0
Braveheart,1995.0,178,8.3,959181,75600000,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,10,5,1,1
Reservoir Dogs,1992.0,99,8.3,918562,2832029,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0
Full Metal Jacket,1987.0,116,8.3,675146,46357676,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0
Aliens,1986.0,137,8.3,652719,85160248,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7,2,0,0
Amadeus,1984.0,160,8.3,369007,51973029,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11,8,1,1
Scarface,1983.0,170,8.3,740911,45598982,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Star Wars: Episode VI - Return of the Jedi,1983.0,131,8.3,950470,309125409,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Das Boot,1981.0,149,8.3,231855,11487676,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6,0,0,0
Taxi Driver,1976.0,114,8.3,724636,28262574,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0,1,0
The Sting,1973.0,129,8.3,241513,159600000,Two grifters team up to pull off the ultimate con.,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,7,1,1
A Clockwork Orange,1971.0,136,8.3,757904,6207725,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,1,0
2001: A Space Odyssey,1968.0,149,8.3,603517,56954992,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,1,0,0
Per qualche dollaro in più,1965.0,132,8.3,232772,15000000,Two bounty hunters with the same intentions team up to track down a Western outlaw.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0
Lawrence of Arabia,1962.0,228,8.3,268085,44824144,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,7,1,1
The Apartment,1960.0,125,8.3,164363,18600000,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10,5,1,1
North by Northwest,1959.0,136,8.3,299198,13275000,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,3,0,0,0
Vertigo,1958.0,128,8.3,364368,3200000,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,2,0,0,0
Singin' in the Rain,1952.0,103,8.3,218957,8819028,A silent film production company and cast make a difficult transition to sound.,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0,0
Double Indemnity,1944.0,107,8.3,143525,5720000,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7,0,1,0
Citizen Kane,1941.0,119,8.3,403351,1585634,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9,1,1,0
Green Book,2018.0,130,8.2,377884,85080171,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,3,1,1
"Three Billboards Outside Ebbing, Missouri",2017.0,115,8.2,432610,54513740,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,2,1,0
El secreto de sus ojos,2009.0,129,8.2,193217,6391436,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0,0
Warrior,2011.0,140,8.2,435950,13657115,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0,0,0
